"Genes";"GPD.PWM";"GPD.EMV";"BC.LS"
"GABPB2";5,23074152461631e-05;3,09795694035871e-05;4,19820992712664e-05
"SEMA6C";2,24125000058207e-06;2,10349563464005e-07;2,79516356085394e-07
"SCNM1";2,97184788292104e-09;1,93207857176358e-09;2,79406810750953e-09
"SELENBP1";9,93951688224053e-07;4,98599072143816e-07;9,2624959496444e-09
"PSMB4";1,772409997173e-06;7,61740383825721e-07;1,29399530829361e-06
"CGN";1,04835277777715e-08;4,44460101252186e-08;1,39365842580159e-08
"RORC";0;0;5,62876237886666e-12
"THEM5";4,69082506598406e-08;1,52624168805016e-08;3,57191028937392e-09
"TCHHL1";4,08096548831327e-08;3,68208479514409e-08;3,43791983241606e-08
"TCHH";3,39279417182692e-08;1,68399679829845e-09;1,27250008502601e-07
"RPTN";1,23886591556488e-10;7,46126925942336e-10;1,64610135413266e-13
"SPRR2F";2,22615660004361e-05;1,79093606394781e-05;1,03791035035079e-05
"SPRR2G";4,53136937567124e-05;4,92657436742701e-05;4,38441397960334e-05
"S100A9";1,54814743629002e-05;2,59253623521737e-05;1,93903797650505e-05
"S100A7L2";6,95614572332914e-09;1,27380530323684e-10;5,32745332618882e-11
"INTS3";2,0198440307256e-05;1,9059020041766e-05;7,66601104659708e-06
"SLC27A3";2,5268112010155e-08;1,32236188704148e-07;1,98019139928342e-09
"TPM3";3,91724368205159e-05;3,73412952167045e-05;2,82616073655315e-05
"C1orf189";0;2,7704236094106e-12;1,83661502485104e-11
"HAX1";3,49323665065961e-05;2,72736121818724e-05;2,45989098121005e-05
"SHE";0;1,37370105959256e-08;2,20779425047425e-07
"KCNN3";2,17721751586408e-10;2,21600515715181e-18;3,6367385598964e-16
"TRIM46";5,35398770447247e-06;1,24519485462655e-05;9,9865173155971e-06
"MTX1";1,8291443914705e-05;7,69760203604937e-06;8,00046319684037e-06
"RUSC1";1,10154716247542e-05;1,47485666100865e-05;1,40869444967868e-05
"LMNA";7,0467909558995e-05;6,30480451268872e-05;6,52163542469532e-05
"PAQR6";2,69244626593945e-16;4,42076582714113e-09;4,91333134599987e-11
"SMG5";2,5501006810459e-05;2,277392968929e-05;3,05885297422882e-05
"BCAN";7,80251975339998e-07;3,49244758142664e-07;5,81047071910791e-08
"NTRK1";2,67141774487214e-06;3,33548938518692e-06;4,48736495023595e-06
"INSRR";3,32899374733131e-14;2,42827819691982e-10;2,73423654924955e-11
"ARHGEF11";3,00875462839522e-05;2,09099607452169e-05;2,41155139360372e-05
"KIRREL";8,36299426776877e-06;1,05334118640344e-05;8,61220502894808e-06
"OR10K2";1,36976660809184e-06;9,96612099482887e-07;1,01080610286404e-06
"OR10K1";1,75865730301005e-05;1,59954280730716e-05;1,04119388236524e-05
"MNDA";5,19251232004338e-05;3,79819850455402e-05;3,5481113614559e-05
"AIM2";9,38856085640216e-07;3,71966829297918e-07;1,36447925985912e-06
"CADM3";1,61037072136527e-05;1,91756991994258e-05;1,70994939770977e-05
"DUSP23";5,63973330829587e-06;3,29407791013006e-06;1,304965997493e-06
"TAGLN2";3,56196319625349e-05;3,11738455512416e-05;2,99569284668482e-05
"CD84";4,70164217554427e-07;7,61185871431463e-07;2,42781189862905e-06
"SLAMF1";2,03188853914359e-05;1,75621579681266e-05;2,229514750734e-05
"CD48";1,27439015956755e-05;5,11358473545509e-06;4,44992880303743e-06
"AL591806.1";3,79827904690496e-07;3,8151226220402e-07;7,52362876121831e-07
"NDUFS2";7,14865118949964e-05;7,02730032822017e-05;5,83349145631587e-05
"MPZ";1,68360491827891e-07;4,57674913384543e-08;4,24213082340437e-08
"FCGR2A";3,32758474655612e-07;4,37571633195585e-07;1,00970831048095e-06
"HSPA6";5,02469944907947e-05;4,72441218945743e-05;4,70603932398966e-05
"FCGR3A";4,56023356031464e-07;1,42058702697543e-07;4,06760800240122e-11
"PBX1";0;0;2,58412867290888e-19
"RXRG";5,66387487954518e-06;9,62997409328451e-06;1,34471498252269e-05
"LRRC52";7,23107407296641e-10;5,06195904185247e-08;4,06923384835375e-07
"CD247";8,22139229234274e-06;6,16748532068781e-06;2,90032332463715e-06
"CREG1";3,22620100782045e-05;2,3910722658043e-05;2,65412707504535e-05
"RCSD1";5,68923094968354e-08;1,88770230036883e-08;3,9539400281988e-08
"MPZL1";1,53814891457421e-06;6,70360191489029e-07;8,5131068894087e-07
"ADCY10";2,45484109046214e-06;2,40327230447527e-06;3,64321378609636e-06
"NME7";2,54865604014665e-10;1,1804413384775e-09;6,62873801269921e-09
"BLZF1";7,21539974317345e-05;6,3830565627454e-05;6,90930153667058e-05
"CCDC181";6,22444401371045e-06;3,68184578594892e-06;5,2619438930165e-06
"SLC19A2";0;5,4306419583483e-13;1,44369361413628e-09
"F5";1,11797709697221e-05;1,0777055158146e-05;7,2453546321051e-06
"SELP";5,77703516277215e-07;2,93144929561565e-07;6,44589877744476e-07
"DNM3";3,52670826426308e-07;1,65088110201987e-07;5,57176773007577e-08
"C1orf105";1,82202686945498e-05;1,79827505090618e-05;1,80620420500638e-05
"FASLG";2,41483785868952e-06;3,59317814366974e-06;4,84236452534803e-06
"PRDX6";1,52562298269529e-05;1,21207816353423e-05;6,4353480335913e-06
"KLHL20";7,44388080280219e-05;6,84688498476668e-05;6,60853866200405e-05
"DARS2";3,25428713692033e-05;2,69912642845619e-05;1,94489868659343e-05
"ZBTB37";3,49649529827296e-05;3,86707531243713e-05;5,05507481069022e-05
"MRPS14";4,13539050598026e-05;4,08765321571218e-05;4,03313841267609e-05
"TNR";7,02150674668722e-09;3,43970544088079e-09;8,58709529490523e-10
"RFWD2";4,00556635339181e-05;4,88419629248117e-05;4,52812151722514e-05
"RALGPS2";5,84722864301038e-06;6,92424870141632e-06;5,7630548556416e-06
"ANGPTL1";6,51650824432622e-06;5,95512531388217e-06;3,30798026897678e-06
"TOR3A";3,6478494975508e-05;3,4629001419339e-05;2,84314859641815e-05
"CACNA1E";1,88470553800253e-06;3,20841993182137e-06;5,95042551355503e-07
"FAM129A";3,76719682775996e-07;3,06885604402348e-07;9,66279419358787e-08
"PLA2G4A";2,86402803152077e-05;2,25168586223223e-05;1,68841538171159e-05
"BRINP3";1,33687502617082e-05;9,98897673298924e-06;9,21434516238154e-06
"KCNT2";4,42694009704139e-07;1,72098192094758e-07;1,06512318235061e-07
"CFHR4";2,96171548070725e-06;1,56977068493637e-06;3,53302823148674e-06
"CRB1";9,07501335266493e-07;1,11963431164463e-06;2,16552898320402e-07
"C1orf53";1,81578340627392e-05;2,72577175692649e-05;3,05434578025604e-05
"LHX9";2,86567737589714e-05;4,05602577572637e-05;3,0613180223665e-05
"CAMSAP2";9,89471874062571e-07;3,02541342414303e-07;9,34899141908096e-07
"GPR25";5,03396553794317e-05;4,16165132159673e-05;4,3535536619674e-05
"CACNA1S";1,31537693883766e-06;4,11083999420969e-08;1,20484692914702e-07
"IGFN1";1,49435878591578e-05;9,93393267805535e-06;1,22015347329397e-05
"GPR37L1";4,41848383603093e-05;4,08947653594559e-05;3,65525414273253e-05
"PTPN7";5,80265316872164e-09;2,46060166778694e-08;7,30275677005937e-10
"LGR6";2,88610920589023e-05;2,39481727635363e-05;2,20383930006402e-05
"SYT2";7,59916020499681e-07;1,197805762548e-06;7,36979360005678e-07
"ATP2B4";6,98957191989594e-07;3,94745825686157e-07;7,45104295546974e-07
"SOX13";2,28380402452137e-05;2,01084771985517e-05;2,67831865179836e-05
"PIK3C2B";3,4092930558076e-05;3,18636928147601e-05;2,26933039343512e-05
"NFASC";4,6746612964956e-05;3,88148555605186e-05;3,02370478771836e-05
"CNTN2";7,50436006078505e-07;3,55560370023782e-06;7,92866558725516e-06
"TMEM81";2,03660551974171e-05;1,9266399118679e-05;1,34629132246203e-05
"SLC45A3";9,63540275642061e-06;2,32823520819451e-05;1,91772092076221e-05
"SLC26A9";3,20260951794753e-05;3,04035768784947e-05;3,37284145561468e-05
"IL20";0,00012;0,00012;0,000115020799559567
"IL24";3,96219395191476e-05;3,47039147859677e-05;3,15274011493332e-05
"PIGR";4,64914905533151e-06;1,31875202986056e-06;2,09559322493756e-06
"C4BPA";8,40110891122482e-06;9,60234885809447e-06;1,46958747302931e-05
"C1orf74";4,01874967187721e-08;1,31406607478268e-08;2,26773435446898e-09
"HHAT";1,35956681810861e-05;9,60728228917919e-06;4,9819104614015e-06
"TMEM206";7,94048538626446e-06;6,01729585169369e-06;9,06858933969046e-06
"NENF";3,17106792492962e-05;3,45933139960876e-05;2,95980616359733e-05
"BATF3";4,6898099801829e-05;3,49430991909392e-05;3,58510368830856e-05
"RPS6KC1";1,55373410212564e-05;1,05886311374385e-05;1,51469169895861e-05
"PTPN14";3,22056926279954e-06;3,19930377615197e-06;1,52087473223672e-06
"KCNK2";2,87778637236835e-10;2,54329725553493e-08;1,25008580041888e-08
"USH2A";1,66435394133302e-12;5,26541661383106e-13;5,01242017626829e-25
"ESRRG";7,31481142324242e-14;3,90478390732696e-13;5,39738197788205e-19
"GPATCH2";1,9742026124973e-06;2,31587353927338e-07;3,87697684296322e-07
"TGFB2";3,45934625318203e-06;2,02196833936952e-06;1,43340607738515e-06
"DUSP10";1,31035458286699e-07;2,34180305454135e-07;9,25107374303306e-07
"C1orf95";8,39665282297867e-05;7,91332026700124e-05;8,89348044831354e-05
"ITPKB";1,87333011010037e-05;1,71677901160996e-05;2,30013080137545e-05
"ADCK3";3,73049767396711e-07;7,10554169552539e-07;2,94200448599208e-06
"TRIM11";1,86607367301056e-07;1,8927080093276e-07;5,29669186584877e-08
"TRIM17";7,45931236155007e-07;1,19137571318425e-06;1,4696762838377e-06
"HIST3H3";8,26763400546525e-07;1,26036245177527e-07;1,31342626419102e-07
"RNF187";0;0;3,1715883297562e-12
"PGBD5";2,19402265367355e-06;1,68523960869654e-06;4,59885535453584e-07
"C1orf198";7,88421390766511e-06;8,90088237577257e-06;1,10784414519423e-05
"DISC1";3,10467475413926e-06;2,24841824692556e-06;2,48682487991192e-07
"PCNXL2";3,04371950871124e-05;4,61579039829571e-05;4,12622651482657e-05
"KCNK1";4,24564591489096e-10;3,27900621099886e-12;1,97708201641318e-09
"SLC35F3";2,83606871650263e-07;2,5818816433909e-06;7,487905754237e-07
"TARBP1";1,05561200625104e-11;2,22592732024296e-13;1,66126832432982e-09
"GNG4";1,03261262736352e-05;8,98153810015762e-06;6,63225619219432e-06
"RYR2";1,99096547899291e-10;1,55465227911211e-10;8,70368255636642e-16
"CHRM3";1,9727669831039e-07;6,46411104280309e-08;1,82969302369016e-09
"RGS7";0;1,10800257857591e-18;2,33095101689034e-15
"PLD5";3,35555214139538e-08;1,60617364984549e-07;5,18006343881982e-10
"CEP170";1,88182037976492e-06;5,30272375692718e-06;7,8869021451176e-06
"HNRNPU";1,20814038386024e-05;9,79861725176811e-06;7,71371520962452e-06
"KIF26B";0;0;1,59653041062808e-42
"SMYD3";5,24795253850442e-06;2,44137078469384e-06;1,280109040418e-06
"AHCTF1";2,00513183209719e-05;1,72228373480869e-05;1,00105057841057e-05
"OR2L5";3,86929677998478e-05;2,72159028896786e-05;2,50240285102762e-05
"OR2T33";5,46384562733363e-07;4,57515181794919e-07;3,14283415601628e-07
"OR2T12";1,10223105386708e-06;1,44738872972732e-06;1,94787193860736e-07
"OR2M7";8,64038764459485e-08;1,90640488252403e-08;9,67145517814198e-08
"OR2T34";6,72708070687034e-05;6,31023753377802e-05;4,66476604630855e-05
"SH3YL1";8,19605343171118e-05;6,26740759688398e-05;6,7983498727281e-05
"SNTG2";4,04360660198575e-05;2,97424146062756e-05;2,80092671174301e-05
"PXDN";0;1,39574530821918e-13;4,8300079356627e-10
"TRAPPC12";2,25792422354351e-07;1,16985520711975e-06;4,03208680851163e-06
"DCDC2C";5,74873384176995e-06;6,04469632513971e-06;5,4715088690254e-06
"GRHL1";1,32995144904975e-07;9,44640860186252e-08;5,61476895436723e-08
"KLF11";2,34179839965631e-08;1,25172408406546e-07;6,44580309494297e-09
"CYS1";2,32889278106718e-11;5,42084978057966e-10;4,33415214912717e-10
"AC104794.4";1,94798172485887e-05;2,13591639513227e-05;1,90547602323395e-05
"RRM2";0,00014;0,00014;0,000130287412715461
"HPCAL1";2,49300580179579e-17;1,0032638150248e-11;1,16292104619679e-14
"ODC1";3,00472621128645e-10;1,08790974614048e-08;1,14317213232994e-08
"NOL10";8,30946459566828e-10;9,3928374624852e-11;1,4223573298663e-08
"GREB1";1,3596200335755e-07;1,38642369925646e-07;7,99390025129413e-08
"TRIB2";2,17936071011279e-05;1,89685845986725e-05;1,10663493165305e-05
"NBAS";4,19034867215715e-05;3,28557726827077e-05;3,84453493169639e-05
"FAM49A";8,03347990074865e-11;7,34464289686709e-11;6,48487900281605e-19
"MSGN1";9,10174321849345e-07;1,71370017963577e-06;1,04152809099089e-06
"KCNS3";1,34445127784821e-09;2,11562502644425e-10;2,09764681485048e-17
"OSR1";5,71856488956541e-06;7,14508349454452e-06;5,38938206420089e-06
"LAPTM4A";2,07055577418245e-07;4,23457864609289e-08;2,97444344488681e-08
"SDC1";1,27615648430388e-05;6,45867459731947e-06;1,45582544797766e-05
"C2orf43";4,16903452918671e-09;1,77372781207108e-11;1,90873301543176e-09
"EFR3B";2,31320657527179e-09;3,93024255459506e-10;6,77421014860556e-12
"POMC";1,11038478411984e-14;7,54228435262405e-14;1,24185624629958e-18
"DNMT3A";4,81632512931657e-07;1,05032865838052e-06;3,87892426304276e-07
"DTNB";0;0;2,4055214123285e-13
"KIF3C";3,0762772479839e-06;4,11643364553233e-06;4,58890613301113e-06
"OTOF";5,68974302631586e-09;0;1,58997756882056e-09
"C2orf70";5,28459748598626e-06;2,2535031505365e-06;3,1498676874662e-06
"EIF2B4";8,79955028812326e-05;8,01016094268537e-05;7,99013046742346e-05
"PLB1";1,1018847423383e-12;0;1,57164227574497e-13
"CLIP4";4,11664131818822e-05;4,49489685930176e-05;4,85170037493373e-05
"ALK";0;0;4,17845814401289e-17
"LBH";4,05102432684926e-06;2,92978038831778e-06;5,33506273452105e-06
"CAPN13";8,6235674490176e-13;0;3,64661085334848e-09
"GALNT14";1,83921685779047e-05;2,53600384047962e-05;1,67885007821014e-05
"XDH";4,72015003491363e-06;1,80966161482455e-06;1,77448655463767e-06
"SLC30A6";2,37708412743211e-05;1,55505126209187e-05;2,24152716433543e-05
"RASGRP3";0;0;1,5352117223525e-19
"CRIM1";1,0677457550392e-05;7,9507094496785e-06;1,46090907159158e-05
"VIT";3,81912835246228e-05;4,33446505832869e-05;3,57943792434883e-05
"QPCT";1,17498389829455e-06;1,64943346824787e-06;3,71795542719029e-06
"CYP1B1";1,57600543461335e-06;1,87134152746607e-06;1,48520123620762e-06
"GALM";1,05532007121542e-05;1,13807388008772e-05;1,10616708427667e-05
"ARHGEF33";6,2544147232515e-08;7,5321182917395e-08;5,68942605837025e-07
"TMEM178A";1,61176560529013e-05;1,03984453317131e-05;1,13255955109547e-05
"SLC8A1";4,89376127529424e-05;5,2553566274429e-05;4,75540336869661e-05
"C2orf91";1,24230613777982e-07;2,00533228667477e-08;9,87340291854233e-08
"PRKCE";0;0;2,02490886152454e-60
"EPAS1";1,06133025217107e-05;6,14041363880887e-06;1,087521327596e-05
"EPCAM";8,69730407737923e-08;4,82686257250535e-07;7,45975766028917e-07
"KCNK12";1,41278319117389e-07;4,68160979516999e-07;3,82687019611435e-07
"STON1-GTF2A1L";3,70077305727951e-06;2,2204369568448e-06;5,76208774212519e-07
"NRXN1";1,86369634724848e-11;1,32993549506466e-14;6,36639273785696e-13
"GPR75-ASB3";2,11309387765368e-13;1,20772281064774e-15;2,51098322660777e-14
"ASB3";1,41939447935258e-06;2,41316740306442e-06;1,7701848875057e-06
"CHAC2";3,20341598092253e-06;6,3119690912351e-06;2,12853861317548e-06
"ERLEC1";8,13466316433258e-06;2,17143314511906e-06;3,00352188655025e-06
"GPR75";1,95464505538074e-06;2,42547274189426e-06;2,5939866602663e-07
"PSME4";1,70216739708413e-05;1,91901844078904e-05;1,55073948169146e-05
"ACYP2";6,9426929925731e-07;1,04384231884599e-06;9,21001985952712e-07
"SPTBN1";0;4,6191519498251e-14;1,0292610924656e-12
"EML6";1,60935374039495e-10;5,54001289287953e-19;5,4785933913947e-16
"RTN4";1,86028224228307e-09;5,42141597067292e-08;1,03170603226081e-07
"PNPT1";2,88403045683665e-05;2,61263471782602e-05;2,42032770714432e-05
"CCDC85A";7,34945367786288e-12;0;1,83796422440248e-17
"VRK2";1,02905075907329e-05;5,96901559955443e-06;4,24220899124848e-06
"FANCL";1,43601603642854e-06;1,8975625899113e-06;3,20514645205643e-06
"BCL11A";0;0;1,16643060003703e-09
